QuestID,QuestName,QuestType,TargetMonster,Location,Risk,Reward
MB001,하수도 청소,토벌,Slime,하수도,1,1000
MB002,거대 벌집 제거,토벌,KillerBee,도시 공원,1,1200
MB003,농장 습격,토벌,Hedgehog,목장,1,1200
MB004,거대 지렁이 출몰,토벌,Worm,지하 공사장,1,1400
MB005,독버섯 숲,토벌,Mandrake,도심 숲,1,1500
MB006,식인 덩굴 제거,토벌,CreepingVine,공원,1,1600
MB007,악마의 화단,토벌,DevilPlant,식물원,1,1800
MB008,하천의 포식자,토벌,KillerFish,하천,1,1800
MB009,해파리 떼,토벌,Jellyfish,해안가,1,1900
MB010,폐건물 점거,토벌,Goblin,폐공장,1,2000
MB011,지하철 쥐 소탕,토벌,Wererat,폐지하철,2,2500
MB012,야간 순찰,토벌,Imp,주택가,2,2600
MB013,악취의 원인,토벌,Oogama,하수 처리장,2,2700
MB014,떠돌이 오크,토벌,Orc,산업단지,2,2800
MB015,하늘의 소음,토벌,Harpie,고층빌딩,2,3000
MB016,공동묘지 경비,토벌,Zombie,공동묘지,2,3200
MB017,도굴꾼의 저주,토벌,Skeleton,묘지 지하,2,3400
MB018,떠도는 불빛,조사,WillOWisp,숲길,2,3000
MB019,요정 소동,협상,Sprite,숲,2,3200
MB020,숲의 길잡이,협상,Ljosalfr,숲,2,3500
MB021,상가 점거 사건,토벌,Troll,폐쇼핑몰,3,5000
MB022,폐병원 정화,토벌,Banshee,폐병원,3,5200
MB023,야수 추적,토벌,Werewolf,산악지대,3,5500
MB024,사막의 미이라,토벌,Mummy,사막 유적,3,5800
MB025,석화 사건,토벌,Cockatrice,협곡,3,6000
MB026,독사의 여왕,토벌,Medusa,폐벙커,3,6500
MB027,수족관 탈출,생포,Mermaid,해양연구소,3,7000
MB028,심해 구조,구조,Merman,해저터널,3,7000
MB029,폐광 조사,토벌,Oomukade,폐광,3,7500
MB030,숲의 수호자,협상,Treant,원시림,3,8000
MB031,호수의 신부,생포,Kelpie,호수,3,8200
MB032,미확인 생물,생포,Nekomata,도심,3,8500
MB033,장난꾸러기,생포,Puck,공원,3,8500
MB034,성역 침입,협상,Dryad,성역,3,9000
MB035,미궁의 괴수,토벌,Minotaur,고대 미궁,4,12000
MB036,황금의 수호자,토벌,Asterion,고대 미궁,4,12500
MB037,검은 기사,토벌,Dullahan,산악도로,4,13000
MB038,마녀의 성,토벌,Circe,폐성,4,14000
MB039,피의 제단,토벌,Medea,고대 신전,4,14500
MB040,전장의 유령,토벌,Bellona,폐요새,4,15000
MB041,하늘의 왕,토벌,Ziz,산악지대,4,15500
MB042,화산의 지배자,토벌,Salamander,화산,4,16000
MB043,얼음 산맥,토벌,Yeti,빙설지대,4,16000
MB044,살아있는 요새,토벌,Golem,채석장,4,17000
MB045,석상의 반란,토벌,Gargoyle,시청사,4,17000
MB046,연구소 봉쇄,토벌,Chimera,생명공학 연구소,4,18000
MB047,삼두의 문지기,토벌,Cerberus,균열 입구,4,20000
MB048,용인의 부족,협상,Dragonfolk,협곡,4,19000
MB049,평화 협정,협상,Enkidu,사막,5,22000
MB050,부족 회담,협상,Centaur,평원,5,22000
MB051,현자의 조언,협상,Bodhidharma,사찰,5,23000
MB052,여왕의 부탁,협상,Freyja,성역,5,25000
MB053,성녀의 축복,협상,Brigid,성당,5,25000
MB054,무녀의 예언,협상,Himiko,신사,5,26000
MB055,마녀의 거래,협상,Hecate,폐도시,5,27000
MB056,전설의 음유시인,협상,Taliesin,고원,5,28000
MB057,신탁 수집,협상,Veleda,유적,5,28000
MB058,살아있는 표본,생포,Chimera,연구소,5,30000
MB059,드래곤 연구,생포,Dragon,화산,5,32000
MB060,해양 조사,생포,Kraken,심해,5,33000
MB061,악마 연구,생포,Imp,균열,5,30000
MB062,식물 연구,생포,Mandrake,숲,5,29000
MB063,정령 포획,생포,Undine,호수,5,31000
MB064,화염 정령,생포,Ifrit,화산,5,32000
MB065,바람의 요정,생포,Sprite,숲,5,30000
MB066,야생 그리폰,생포,Griffin,절벽,5,32000
MB067,환상의 말,생포,Sleipnir,평원,5,35000
MB068,대통령 경호,호위,Assassin,정부청사,5,30000
MB069,연구소 수송,호위,Rogue,연구소,5,28000
MB070,고고학 발굴,호위,Mimic,유적,5,29000
MB071,성물 운반,호위,Gargoyle,대성당,5,30000
MB072,VIP 구조,호위,Klingsor,폐도시,5,32000
MB073,첫 현상금,경쟁,Goblin,폐공장,2,5000
MB074,도시 수복,경쟁,Orc,도심,3,10000
MB075,폐공장 점령,경쟁,Troll,폐공장,3,11000
MB076,비밀 연구소,경쟁,Wizard,연구소,4,18000
MB077,고대 유적,경쟁,Medusa,유적,4,20000
MB078,용 사냥,경쟁,Dragon,화산,5,35000
MB079,심해 탐사,경쟁,Leviathan,심해,5,45000
MB080,최강 토벌,경쟁,Balrog,균열 심층,5,50000
MB081,용의 둥지,S급,Dragon,화산 심부,6,60000
MB082,심해의 왕,S급,Leviathan,심해,6,70000
MB083,종말의 뱀,S급,Jormungand,북해 균열,6,80000
MB084,흡혈귀의 성,S급,Dracula,고성,6,75000
MB085,밤의 귀족,S급,Lilith,폐수도원,6,78000
MB086,마왕 강림,S급,Belial,균열 중심부,6,85000
MB087,고대신의 사도,S급,Baal,균열 중심부,6,90000
MB088,불타는 심연,S급,Balrog,심연,6,95000
MB089,죽음의 수확,S급,GrimReaper,사자의 계곡,6,100000
MB090,균열의 수호자,S급,Siva,최종 균열,6,120000
