name,id,Skill,Element,Type,Target,Power,Accuracy,MPCost,StatusEffect,statusEffectChance,TargetCondition,PassiveOrCondition,Description
Slime,enemy_000,Acid Splash,Nature,Attack,Single_Enemy,28,95,3,Poison,25,,,산성 점액을 뿜는다.
Slime,enemy_000,Divide,Holy,Recovery,Self,0,100,8,None,0,HP<=60%,Recover HP 40%,몸을 분열시켜 회복한다.
Slime,enemy_000,Gel Body,None,Passive,Self,0,0,0,None,0,,Physical Damage -15%,점액질 육체
Hedgehog,enemy_001,Needle Shot,Physical,Attack,Single_Enemy,35,95,3,Bleed,20,,,가시를 발사한다.
Hedgehog,enemy_001,Roll Attack,Physical,Attack,Single_Enemy,42,90,5,None,0,,,몸을 말아 돌진한다.
Hedgehog,enemy_001,Sharp Spines,None,Passive,Self,0,0,0,None,0,,Counter Damage +15%,가시에 찔린다.
KillerBee,enemy_002,Poison Sting,Nature,Attack,Single_Enemy,38,95,4,Poison,35,,,독침 공격
KillerBee,enemy_002,Buzz Assault,Wind,Attack,Single_Enemy,45,95,5,None,0,,,고속 비행 공격
KillerBee,enemy_002,Hive Instinct,None,Passive,Self,0,0,0,None,0,,Accuracy +10%,군집 본능
KillerFish,enemy_003,Bite,Physical,Attack,Single_Enemy,48,95,4,Bleed,25,,,날카로운 이빨
KillerFish,enemy_003,Blood Frenzy,Holy,Buff,Self,0,100,5,None,0,Target has Bleed,ATK +2,피 냄새에 흥분한다.
KillerFish,enemy_003,Aquatic Hunter,None,Passive,Self,0,0,0,None,0,,Damage +15% vs Bleeding Target,출혈한 적에게 강하다.
Jellyfish,enemy_004,Paralyze Shock,Lightning,Attack,Single_Enemy,45,100,5,Paralyze,30,,,전기 충격
Jellyfish,enemy_004,Toxic Pulse,Nature,Attack,All_Enemies,30,100,7,Poison,20,,,독성 파동
Jellyfish,enemy_004,Soft Body,None,Passive,Self,0,0,0,None,0,,Lightning Resistance +30%,유연한 몸
Worm,enemy_005,Burrow Bite,Physical,Attack,Single_Enemy,52,95,5,None,0,,,땅속에서 습격
Worm,enemy_005,Earth Dive,Holy,Buff,Self,0,100,6,None,0,HP<=50%,Evasion +2,땅속으로 숨는다.
Worm,enemy_005,Tunneler,None,Passive,Self,0,0,0,None,0,,Earth Resistance +30%,굴파기
