QuestID,QuestName,QuestType,Targets,Location,locationID,Risk,Reward,Description
Q0001,야간 순찰 지원,Repeat,enemy_009:1,폐공장,FACTORY,1,1200,폐공장 주변에서 목격되는 고블린을 제거하십시오.
Q0002,창고 탈환,Repeat,enemy_009:1|enemy_016:1,폐공장,FACTORY,2,1800,몬스터에게 점거된 창고를 확보하십시오.
Q0003,폭주 드론 회수,Sub,enemy_027:1,폐공장,FACTORY,2,2200,공장 자동화 드론이 폭주했습니다. 가능하면 회수하고 불가능하면 파괴하십시오.
Q0004,밀수 조직 소탕,Sub,enemy_015:1|enemy_059:1,폐공장,FACTORY,3,3500,밀수 조직이 몬스터와 결탁했습니다. 조직원을 제압하십시오.
Q0005,자동 경비 시스템 정지,Repeat,enemy_026:1|enemy_031:1,폐공장,FACTORY,3,4200,공장의 자동 방어 시스템이 오작동하고 있습니다.
Q0006,살아있는 화물,Sub,enemy_022:1,폐공장,FACTORY,4,5200,수송용 컨테이너 안에서 미믹이 발견되었습니다.
Q0007,골렘 폭주 사건,Main,enemy_053:1,폐공장,FACTORY,5,9000,불법 채굴 작업으로 깨어난 골렘을 진압하십시오.
Q0008,공장 지하 조사,Main,enemy_033:1|enemy_027:1|enemy_053:1,폐공장,FACTORY,5,12000,폐공장 지하에서 정체불명의 병기가 생산되고 있습니다. 원인을 조사하고 시설을 무력화하십시오.
Q0009,실종 승객 수색,Repeat,enemy_000:1,지하철 승강장,SUBWAY,1,1200,운행이 중단된 승강장에서 슬라임이 발견되었습니다. 실종자의 생존 여부를 확인하고 몬스터를 제거하십시오.
Q0010,폐선로의 쥐떼,Repeat,enemy_020:1,지하철 승강장,SUBWAY,2,1800,폐선 구간에서 거대 웨어랫이 번식하고 있습니다. 개체 수를 줄여 시민 안전을 확보하십시오.
Q0011,막차의 망령,Sub,enemy_017:1|enemy_018:1,지하철 승강장,SUBWAY,2,2500,심야에 운행하지 않는 열차에서 언데드가 목격되었습니다. 원인을 조사하십시오.
Q0012,웃음소리의 정체,Sub,enemy_014:1,지하철 승강장,SUBWAY,3,3600,승강장 곳곳에서 들려오는 웃음소리의 원인을 제거하십시오.
Q0013,울음이 들리는 플랫폼,Sub,enemy_044:1,지하철 승강장,SUBWAY,3,4300,승강장에서 정체불명의 울음소리가 계속 들립니다. 밴시를 찾아 처치하십시오.
Q0014,폐역 정화 작전,Repeat,enemy_017:1|enemy_018:1|enemy_020:1,지하철 승강장,SUBWAY,4,5200,완전히 봉쇄된 폐역을 정화하여 유지보수팀이 진입할 수 있도록 하십시오.
Q0015,사신이 걷는 선로,Main,enemy_024:1,지하철 승강장,SUBWAY,5,9000,실종 사건의 배후로 추정되는 그림 리퍼를 처치하고 선로를 봉쇄하십시오.
Q0016,지하의 봉인,Main,enemy_024:1|enemy_044:1|enemy_018:1,지하철 승강장,SUBWAY,5,12500,폐선 깊숙한 곳에서 차원 균열의 흔적이 발견되었습니다. 언데드를 소탕하고 균열의 단서를 확보하십시오.
Q0017,오염된 배수로,Repeat,enemy_000:1,하수도,SEWER,1,1300,배수로를 막고 있는 슬라임을 제거하여 물의 흐름을 복구하십시오.
Q0018,거대 두꺼비 구제,Repeat,enemy_056:1,하수도,SEWER,2,1900,변이된 거대 두꺼비가 유지보수 인력을 습격하고 있습니다.
Q0019,하수도의 포식자,Sub,enemy_003:1|enemy_004:1,하수도,SEWER,2,2600,오염수에서 번식한 포식성 수중 몬스터를 제거하십시오.
Q0020,독성 덩굴 제거,Sub,enemy_007:1|enemy_013:1,하수도,SEWER,3,3600,배관을 뒤덮은 식물형 몬스터를 제거하여 시설을 복구하십시오.
Q0021,거대 지렁이 소탕,Repeat,enemy_005:1,하수도,SEWER,3,4200,지반을 붕괴시키는 거대 웜을 제거하십시오.
Q0022,하수 처리장 점검,Sub,enemy_000:1|enemy_056:1|enemy_007:1,하수도,SEWER,4,5500,처리 시설이 몬스터에게 점거되었습니다. 시설을 확보하십시오.
Q0023,오염원의 정체,Main,enemy_004:1|enemy_003:1|enemy_005:1,하수도,SEWER,4,7200,하수도 깊숙한 곳에서 오염수의 근원을 조사하고 몬스터를 소탕하십시오.
Q0024,지하 수로의 균열,Main,enemy_070:1,하수도,SEWER,5,13000,지하 수로에서 차원 균열이 발견되었습니다. 균열을 지키는 스킬라를 처치하고 연구 데이터를 회수하십시오.
Q0025,동굴 입구 확보,Repeat,enemy_046:1,동굴,CAVE,2,2400,탐사대를 위해 동굴 입구를 점거한 코카트리스를 제거하십시오.
Q0026,광부 구조 작전,Sub,enemy_062:1,동굴,CAVE,3,4200,실종된 광부들이 미노타우로스의 영역에 갇혀 있습니다. 생존자를 구조하십시오.
Q0027,용인의 흔적,Sub,enemy_058:1,동굴,CAVE,3,4800,동굴 깊은 곳에서 드래곤포크 부족이 목격되었습니다. 정찰 후 필요 시 교전하십시오.
Q0028,마수의 둥지,Repeat,enemy_066:1|enemy_068:1,동굴,CAVE,4,6200,키메라와 만티코어가 같은 영역에서 번식하고 있습니다. 개체 수를 줄이십시오.
Q0029,지옥의 문지기,Sub,enemy_064:1,동굴,CAVE,4,7600,거대한 삼두견이 동굴의 심층으로 향하는 길을 막고 있습니다.
Q0030,동굴의 왕,Main,enemy_099:1,동굴,CAVE,5,9800,동굴 생태계의 최상위 포식자인 베헤모스를 처치하십시오.
Q0031,잠든 용의 둥지,Main,enemy_108:1|enemy_079:1,동굴,CAVE,5,13000,드래곤 나이트가 고대 드래곤을 깨우려 하고 있습니다. 의식을 저지하십시오.
Q0032,균열의 심장부,Main,enemy_108:1|enemy_064:1|enemy_079:1,동굴,CAVE,6,18000,동굴 최심부에서 차원 균열이 확대되고 있습니다. 드래곤 나이트를 쓰러뜨리고 균열의 핵을 확보하십시오.
Q0033,침수 건물 조사,Repeat,enemy_010:1,물에 잠긴 건물,RUIN,2,2600,침수된 건물 내부를 수색하고 머맨 무리를 제거하십시오.
Q0034,인어의 노랫소리,Sub,enemy_012:1,물에 잠긴 건물,RUIN,3,4200,구조 신호로 위장한 노랫소리에 유인되는 실종 사건이 발생했습니다. 머메이드를 저지하십시오.
Q0035,물속의 악몽,Repeat,enemy_003:1|enemy_004:1,물에 잠긴 건물,RUIN,3,4800,건물 내부의 수로를 장악한 포식성 수중 몬스터를 제거하십시오.
Q0036,호수의 망령,Sub,enemy_043:1,물에 잠긴 건물,RUIN,4,6200,침수된 주차장에서 켈피가 생존자를 유인하고 있습니다. 구조 작전을 수행하십시오.
Q0037,심해의 촉수,Sub,enemy_073:1,물에 잠긴 건물,RUIN,4,7600,건물 최하층을 점거한 크라켄의 촉수를 제거하여 통로를 확보하십시오.
Q0038,수몰된 연구실,Main,enemy_070:1|enemy_012:1,물에 잠긴 건물,RUIN,5,9800,침수된 연구실에서 차원 생물의 실험 기록을 회수하고 스킬라를 처치하십시오.
Q0039,심연의 수호자,Main,enemy_098:1,물에 잠긴 건물,RUIN,6,16000,거대한 수로 깊은 곳에서 레비아탄이 각성하고 있습니다. 완전히 쓰러뜨릴 수는 없더라도 퇴각시켜야 합니다.
